"stay_date","lead_time","pickup","otb_rooms"
2015-07-07,0,4,27
2015-07-08,394,1,1
2015-07-08,187,1,2
2015-07-08,185,1,3
2015-07-08,139,1,4
2015-07-08,135,1,5
2015-07-08,134,1,6
2015-07-08,128,1,7
2015-07-08,113,1,8
2015-07-08,100,2,10
2015-07-08,96,1,11
2015-07-08,86,1,12
2015-07-08,83,1,13
2015-07-08,82,1,14
2015-07-08,68,1,15
2015-07-08,33,1,16
2015-07-08,7,1,17
2015-07-08,5,1,18
2015-07-08,1,2,20
2015-07-08,0,1,21
2015-07-09,366,1,1
2015-07-09,249,1,2
2015-07-09,189,2,4
2015-07-09,188,1,5
2015-07-09,143,5,10
2015-07-09,134,2,12
2015-07-09,129,1,13
2015-07-09,90,3,16
2015-07-09,78,1,17
2015-07-09,77,1,18
2015-07-09,68,1,19
2015-07-09,22,2,21
2015-07-09,20,1,22
2015-07-09,17,1,23
2015-07-09,16,1,24
2015-07-09,14,1,25
2015-07-09,12,1,26
2015-07-09,2,1,27
2015-07-09,0,1,28
2015-07-10,190,1,1
2015-07-10,151,2,3
2015-07-10,130,1,4
2015-07-10,129,2,6
2015-07-10,123,1,7
2015-07-10,115,1,8
2015-07-10,108,1,9
2015-07-10,106,1,10
2015-07-10,91,3,13
2015-07-10,87,1,14
2015-07-10,86,1,15
2015-07-10,79,1,16
2015-07-10,78,3,19
2015-07-10,44,1,20
2015-07-10,41,1,21
2015-07-10,37,1,22
2015-07-10,35,1,23
2015-07-10,34,3,26
2015-07-10,32,1,27
2015-07-10,31,1,28
2015-07-10,30,2,30
2015-07-10,23,1,31
2015-07-10,22,1,32
2015-07-10,21,2,34
2015-07-10,15,1,35
2015-07-10,13,1,36
2015-07-10,11,2,38
2015-07-10,10,1,39
2015-07-10,3,1,40
2015-07-11,304,1,1
2015-07-11,189,1,2
2015-07-11,188,1,3
2015-07-11,158,1,4
2015-07-11,148,1,5
2015-07-11,137,1,6
2015-07-11,129,1,7
2015-07-11,117,1,8
2015-07-11,110,2,10
2015-07-11,108,1,11
2015-07-11,84,1,12
2015-07-11,79,1,13
2015-07-11,71,1,14
2015-07-11,70,1,15
2015-07-11,54,1,16
2015-07-11,44,1,17
2015-07-11,40,1,18
2015-07-11,36,1,19
2015-07-11,33,4,23
2015-07-11,32,1,24
2015-07-11,16,1,25
2015-07-11,8,1,26
2015-07-11,0,4,30
2015-07-12,172,1,1
2015-07-12,166,1,2
2015-07-12,162,1,3
2015-07-12,116,1,4
2015-07-12,100,1,5
2015-07-12,97,1,6
2015-07-12,90,2,8
2015-07-12,88,1,9
2015-07-12,81,1,10
2015-07-12,64,1,11
2015-07-12,60,1,12
2015-07-12,59,3,15
2015-07-12,53,1,16
2015-07-12,50,1,17
2015-07-12,48,2,19
2015-07-12,40,1,20
2015-07-12,34,4,24
2015-07-12,31,2,26
2015-07-12,13,1,27
2015-07-12,12,2,29
2015-07-12,9,1,30
2015-07-12,8,2,32
2015-07-12,6,1,33
2015-07-12,2,1,34
2015-07-12,1,3,37
2015-07-13,237,3,3
2015-07-13,161,1,4
2015-07-13,133,2,6
2015-07-13,131,1,7
2015-07-13,118,1,8
2015-07-13,115,2,10
2015-07-13,109,2,12
2015-07-13,101,1,13
2015-07-13,98,2,15
2015-07-13,91,1,16
2015-07-13,88,1,17
2015-07-13,81,1,18
2015-07-13,72,1,19
2015-07-13,62,1,20
2015-07-13,58,1,21
2015-07-13,56,1,22
2015-07-13,54,2,24
2015-07-13,51,1,25
2015-07-13,47,1,26
2015-07-13,42,1,27
2015-07-13,41,1,28
2015-07-13,40,2,30
2015-07-13,38,1,31
2015-07-13,32,1,32
2015-07-13,16,1,33
2015-07-13,9,1,34
2015-07-13,2,1,35
2015-07-13,0,3,38
2015-07-14,317,1,1
2015-07-14,194,1,2
2015-07-14,151,1,3
2015-07-14,113,1,4
2015-07-14,99,1,5
2015-07-14,76,1,6
2015-07-14,73,2,8
2015-07-14,66,1,9
2015-07-14,59,2,11
2015-07-14,49,1,12
2015-07-14,38,2,14
2015-07-14,8,2,16
2015-07-14,7,2,18
2015-07-14,6,1,19
2015-07-14,1,3,22
2015-07-14,0,2,24
2015-07-15,83,1,1
2015-07-15,65,1,2
2015-07-15,62,1,3
2015-07-15,57,19,22
2015-07-15,37,2,24
2015-07-15,36,1,25
2015-07-15,16,1,26
2015-07-15,5,1,27
2015-07-15,2,1,28
2015-07-15,1,1,29
2015-07-15,0,1,30
2015-07-16,142,2,2
2015-07-16,140,1,3
2015-07-16,126,1,4
2015-07-16,113,2,6
2015-07-16,104,1,7
2015-07-16,98,1,8
2015-07-16,94,1,9
2015-07-16,90,2,11
2015-07-16,68,1,12
2015-07-16,66,1,13
2015-07-16,63,1,14
2015-07-16,59,1,15
2015-07-16,50,1,16
2015-07-16,41,1,17
2015-07-16,35,4,21
2015-07-16,27,1,22
2015-07-16,22,1,23
2015-07-16,21,1,24
2015-07-16,19,1,25
2015-07-16,17,2,27
2015-07-16,13,2,29
2015-07-16,10,4,33
2015-07-16,7,1,34
2015-07-16,6,1,35
2015-07-16,2,1,36
2015-07-16,0,4,40
2015-07-17,315,1,1
2015-07-17,241,1,2
2015-07-17,108,1,3
2015-07-17,99,1,4
2015-07-17,94,1,5
2015-07-17,92,1,6
2015-07-17,91,2,8
2015-07-17,90,2,10
2015-07-17,79,1,11
2015-07-17,65,2,13
2015-07-17,64,2,15
2015-07-17,53,6,21
2015-07-17,48,1,22
2015-07-17,43,1,23
2015-07-17,38,2,25
2015-07-17,29,1,26
2015-07-17,25,2,28
2015-07-17,24,2,30
2015-07-17,23,1,31
2015-07-17,17,1,32
2015-07-17,15,1,33
2015-07-17,13,1,34
2015-07-17,11,1,35
2015-07-17,9,1,36
2015-07-17,8,1,37
2015-07-17,7,1,38
2015-07-17,6,2,40
2015-07-17,3,4,44
2015-07-17,2,1,45
2015-07-17,1,3,48
2015-07-17,0,3,51
2015-07-18,136,2,2
2015-07-18,108,1,3
2015-07-18,106,1,4
2015-07-18,96,1,5
2015-07-18,95,1,6
2015-07-18,94,2,8
2015-07-18,93,1,9
2015-07-18,87,1,10
2015-07-18,73,1,11
2015-07-18,64,3,14
2015-07-18,59,1,15
2015-07-18,57,4,19
2015-07-18,45,1,20
2015-07-18,44,3,23
2015-07-18,29,2,25
2015-07-18,28,1,26
2015-07-18,26,1,27
2015-07-18,25,1,28
2015-07-18,19,1,29
2015-07-18,4,1,30
2015-07-18,3,1,31
2015-07-18,1,2,33
2015-07-18,0,1,34
2015-07-19,178,1,1
2015-07-19,153,1,2
2015-07-19,123,1,3
2015-07-19,117,1,4
2015-07-19,104,2,6
2015-07-19,96,1,7
2015-07-19,94,1,8
2015-07-19,71,1,9
2015-07-19,66,1,10
2015-07-19,47,1,11
2015-07-19,45,1,12
2015-07-19,44,2,14
2015-07-19,41,2,16
2015-07-19,37,4,20
2015-07-19,34,1,21
2015-07-19,32,1,22
2015-07-19,30,1,23
2015-07-19,29,1,24
2015-07-19,25,1,25
2015-07-19,19,1,26
2015-07-19,6,1,27
2015-07-19,4,1,28
2015-07-19,1,1,29
2015-07-19,0,7,36
2015-07-20,296,2,2
2015-07-20,157,1,3
2015-07-20,98,2,5
2015-07-20,96,1,6
2015-07-20,89,1,7
2015-07-20,82,1,8
2015-07-20,79,1,9
2015-07-20,68,2,11
2015-07-20,67,2,13
2015-07-20,65,1,14
2015-07-20,63,2,16
2015-07-20,62,2,18
2015-07-20,59,1,19
2015-07-20,56,1,20
2015-07-20,55,2,22
2015-07-20,52,3,25
2015-07-20,51,1,26
2015-07-20,48,2,28
2015-07-20,46,2,30
2015-07-20,44,1,31
2015-07-20,42,6,37
2015-07-20,41,1,38
2015-07-20,39,4,42
2015-07-20,33,1,43
2015-07-20,28,1,44
2015-07-20,26,1,45
2015-07-20,14,1,46
2015-07-20,10,1,47
2015-07-20,6,1,48
2015-07-20,0,3,51
2015-07-21,160,2,2
2015-07-21,153,2,4
2015-07-21,108,1,5
2015-07-21,106,1,6
2015-07-21,102,1,7
2015-07-21,97,1,8
2015-07-21,89,1,9
2015-07-21,64,1,10
2015-07-21,61,1,11
2015-07-21,57,1,12
2015-07-21,56,1,13
2015-07-21,50,3,16
2015-07-21,46,1,17
2015-07-21,43,1,18
2015-07-21,40,1,19
2015-07-21,35,1,20
2015-07-21,29,1,21
2015-07-21,28,2,23
2015-07-21,8,1,24
2015-07-21,5,1,25
2015-07-21,2,1,26
2015-07-21,1,1,27
2015-07-22,84,1,1
2015-07-22,72,1,2
2015-07-22,70,1,3
2015-07-22,64,1,4
2015-07-22,54,1,5
2015-07-22,53,1,6
2015-07-22,51,3,9
2015-07-22,50,2,11
2015-07-22,44,2,13
2015-07-22,41,1,14
2015-07-22,39,1,15
2015-07-22,30,1,16
2015-07-22,13,1,17
2015-07-22,0,2,19
2015-07-23,202,2,2
2015-07-23,117,1,3
2015-07-23,73,1,4
2015-07-23,68,1,5
2015-07-23,66,1,6
2015-07-23,50,2,8
2015-07-23,49,1,9
2015-07-23,45,1,10
2015-07-23,34,1,11
2015-07-23,33,4,15
2015-07-23,26,1,16
2015-07-23,24,1,17
2015-07-23,16,1,18
2015-07-23,9,1,19
2015-07-23,7,1,20
2015-07-23,3,2,22
2015-07-23,2,1,23
2015-07-23,0,4,27
2015-07-24,311,1,1
2015-07-24,254,1,2
2015-07-24,201,1,3
2015-07-24,171,1,4
2015-07-24,128,1,5
2015-07-24,55,2,7
2015-07-24,53,2,9
2015-07-24,43,2,11
2015-07-24,42,1,12
2015-07-24,39,1,13
2015-07-24,38,1,14
2015-07-24,36,2,16
2015-07-24,35,1,17
2015-07-24,32,1,18
2015-07-24,30,1,19
2015-07-24,28,1,20
2015-07-24,25,3,23
2015-07-24,24,2,25
2015-07-24,22,5,30
2015-07-24,18,1,31
2015-07-24,14,2,33
2015-07-24,11,4,37
2015-07-24,10,1,38
2015-07-24,9,2,40
2015-07-24,8,3,43
2015-07-24,1,1,44
2015-07-25,115,1,1
2015-07-25,102,1,2
2015-07-25,94,1,3
2015-07-25,93,1,4
2015-07-25,75,1,5
2015-07-25,73,1,6
2015-07-25,67,1,7
2015-07-25,61,2,9
2015-07-25,60,1,10
2015-07-25,59,1,11
2015-07-25,56,2,13
2015-07-25,54,2,15
2015-07-25,53,1,16
2015-07-25,52,1,17
2015-07-25,51,1,18
2015-07-25,50,1,19
2015-07-25,47,3,22
2015-07-25,43,1,23
2015-07-25,40,2,25
2015-07-25,39,2,27
2015-07-25,38,1,28
2015-07-25,33,1,29
2015-07-25,32,1,30
2015-07-25,31,1,31
2015-07-25,30,1,32
2015-07-25,29,1,33
2015-07-25,25,1,34
2015-07-25,12,1,35
2015-07-25,11,1,36
2015-07-25,1,2,38
2015-07-25,0,1,39
2015-07-26,152,2,2
2015-07-26,130,1,3
2015-07-26,78,2,5
2015-07-26,76,1,6
2015-07-26,73,1,7
2015-07-26,72,1,8
2015-07-26,51,1,9
2015-07-26,50,1,10
2015-07-26,48,6,16
2015-07-26,47,1,17
2015-07-26,45,1,18
2015-07-26,39,4,22
2015-07-26,38,1,23
2015-07-26,34,2,25
2015-07-26,33,3,28
2015-07-26,25,1,29
2015-07-26,23,1,30
2015-07-27,204,1,1
2015-07-27,182,1,2
2015-07-27,177,1,3
2015-07-27,167,1,4
2015-07-27,96,2,6
2015-07-27,77,1,7
2015-07-27,76,1,8
2015-07-27,74,1,9
2015-07-27,72,1,10
2015-07-27,59,1,11
2015-07-27,53,3,14
2015-07-27,52,1,15
2015-07-27,51,1,16
2015-07-27,49,4,20
2015-07-27,48,3,23
2015-07-27,46,1,24
2015-07-27,45,2,26
2015-07-27,42,1,27
2015-07-27,40,1,28
2015-07-27,38,1,29
2015-07-27,35,2,31
2015-07-27,33,1,32
2015-07-27,32,2,34
2015-07-27,31,3,37
2015-07-27,30,2,39
2015-07-27,28,2,41
2015-07-27,27,2,43
2015-07-27,26,3,46
2015-07-27,6,1,47
2015-07-28,155,1,1
2015-07-28,154,1,2
2015-07-28,119,1,3
2015-07-28,110,1,4
2015-07-28,71,1,5
2015-07-28,70,2,7
2015-07-28,69,1,8
2015-07-28,68,1,9
2015-07-28,55,1,10
2015-07-28,50,2,12
2015-07-28,49,1,13
2015-07-28,47,2,15
2015-07-28,36,1,16
2015-07-28,32,1,17
2015-07-28,29,1,18
2015-07-28,28,1,19
2015-07-28,0,1,20
2015-07-29,177,1,1
2015-07-29,142,1,2
2015-07-29,102,1,3
2015-07-29,97,1,4
2015-07-29,91,1,5
2015-07-29,88,1,6
2015-07-29,79,2,8
2015-07-29,77,1,9
2015-07-29,72,2,11
2015-07-29,71,1,12
2015-07-29,51,1,13
2015-07-29,37,2,15
2015-07-29,35,1,16
2015-07-29,34,1,17
2015-07-29,30,1,18
2015-07-29,13,3,21
2015-07-29,8,1,22
2015-07-29,0,2,24
2015-07-30,209,1,1
2015-07-30,164,2,3
2015-07-30,157,1,4
2015-07-30,155,2,6
2015-07-30,146,2,8
2015-07-30,143,3,11
2015-07-30,122,1,12
2015-07-30,118,1,13
2015-07-30,82,1,14
2015-07-30,77,1,15
2015-07-30,75,2,17
2015-07-30,73,3,20
2015-07-30,54,1,21
2015-07-30,52,1,22
2015-07-30,38,2,24
2015-07-30,37,1,25
2015-07-30,31,1,26
2015-07-30,23,1,27
2015-07-30,20,2,29
2015-07-30,17,1,30
2015-07-30,16,1,31
2015-07-30,14,1,32
2015-07-30,3,4,36
2015-07-31,286,1,1
2015-07-31,255,1,2
2015-07-31,210,2,4
2015-07-31,175,1,5
2015-07-31,156,1,6
2015-07-31,151,1,7
2015-07-31,123,1,8
2015-07-31,113,1,9
2015-07-31,107,1,10
2015-07-31,80,1,11
2015-07-31,72,1,12
2015-07-31,67,4,16
2015-07-31,58,2,18
2015-07-31,48,1,19
2015-07-31,46,1,20
2015-07-31,44,1,21
2015-07-31,43,1,22
2015-07-31,42,1,23
2015-07-31,32,2,25
2015-07-31,31,3,28
2015-07-31,25,1,29
2015-07-31,24,2,31
2015-07-31,21,1,32
2015-07-31,16,2,34
2015-07-31,15,3,37
2015-07-31,11,2,39
2015-07-31,8,1,40
2015-07-31,4,2,42
2015-07-31,0,3,45
2015-08-01,212,2,2
2015-08-01,211,1,3
2015-08-01,177,1,4
2015-08-01,166,1,5
2015-08-01,157,1,6
2015-08-01,156,1,7
2015-08-01,155,1,8
2015-08-01,130,1,9
2015-08-01,129,2,11
2015-08-01,124,1,12
2015-08-01,113,1,13
2015-08-01,105,1,14
2015-08-01,103,2,16
2015-08-01,82,2,18
2015-08-01,79,2,20
2015-08-01,78,1,21
2015-08-01,77,1,22
2015-08-01,71,1,23
2015-08-01,70,1,24
2015-08-01,67,4,28
2015-08-01,66,1,29
2015-08-01,64,1,30
2015-08-01,44,1,31
2015-08-01,32,1,32
2015-08-01,22,1,33
2015-08-01,11,1,34
2015-08-01,10,1,35
2015-08-01,5,1,36
2015-08-01,3,2,38
2015-08-01,1,3,41
2015-08-01,0,3,44
2015-08-02,329,1,1
2015-08-02,210,1,2
2015-08-02,173,2,4
2015-08-02,167,1,5
2015-08-02,159,1,6
2015-08-02,157,2,8
2015-08-02,156,1,9
2015-08-02,151,1,10
2015-08-02,143,1,11
2015-08-02,123,1,12
2015-08-02,115,1,13
2015-08-02,109,1,14
2015-08-02,95,1,15
2015-08-02,93,3,18
2015-08-02,85,1,19
2015-08-02,82,4,23
2015-08-02,78,2,25
2015-08-02,67,3,28
2015-08-02,60,1,29
2015-08-02,55,2,31
2015-08-02,46,1,32
2015-08-02,34,1,33
2015-08-02,16,1,34
2015-08-02,12,1,35
2015-08-02,2,1,36
2015-08-02,0,1,37
2015-08-03,460,3,3
2015-08-03,328,1,4
2015-08-03,258,1,5
2015-08-03,213,1,6
2015-08-03,211,2,8
2015-08-03,194,1,9
2015-08-03,179,1,10
2015-08-03,160,5,15
2015-08-03,153,2,17
2015-08-03,146,4,21
2015-08-03,131,1,22
2015-08-03,126,1,23
2015-08-03,112,2,25
2015-08-03,108,1,26
2015-08-03,96,1,27
2015-08-03,88,1,28
2015-08-03,83,1,29
2015-08-03,82,2,31
2015-08-03,81,2,33
2015-08-03,75,1,34
2015-08-03,66,1,35
2015-08-03,55,1,36
2015-08-03,53,3,39
2015-08-03,51,1,40
2015-08-03,25,1,41
2015-08-03,23,1,42
2015-08-03,21,1,43
2015-08-03,7,1,44
2015-08-03,6,1,45
2015-08-03,5,1,46
2015-08-03,4,1,47
2015-08-03,1,1,48
2015-08-03,0,3,51
2015-08-04,195,1,1
2015-08-04,190,3,4
2015-08-04,174,2,6
2015-08-04,158,1,7
2015-08-04,151,1,8
2015-08-04,140,2,10
2015-08-04,127,1,11
2015-08-04,120,2,13
2015-08-04,111,1,14
2015-08-04,110,1,15
2015-08-04,94,1,16
2015-08-04,81,1,17
2015-08-04,62,1,18
2015-08-04,38,1,19
2015-08-04,14,1,20
2015-08-04,13,2,22
2015-08-04,6,2,24
2015-08-04,4,1,25
2015-08-04,1,1,26
2015-08-04,0,4,30
2015-08-05,153,1,1
2015-08-05,148,1,2
2015-08-05,139,2,4
2015-08-05,127,1,5
2015-08-05,107,1,6
2015-08-05,86,1,7
2015-08-05,84,1,8
2015-08-05,76,1,9
2015-08-05,65,1,10
2015-08-05,44,1,11
2015-08-05,41,1,12
2015-08-05,5,1,13
2015-08-05,2,3,16
2015-08-05,1,3,19
2015-08-05,0,2,21
2015-08-06,136,1,1
2015-08-06,135,1,2
2015-08-06,129,3,5
2015-08-06,103,1,6
2015-08-06,87,1,7
2015-08-06,65,1,8
2015-08-06,52,1,9
2015-08-06,51,1,10
2015-08-06,48,1,11
2015-08-06,17,1,12
2015-08-06,9,1,13
2015-08-06,7,1,14
2015-08-06,6,1,15
2015-08-06,3,1,16
2015-08-06,2,1,17
2015-08-06,0,1,18
2015-08-07,310,1,1
2015-08-07,217,1,2
2015-08-07,151,1,3
2015-08-07,134,1,4
2015-08-07,119,1,5
2015-08-07,116,1,6
2015-08-07,107,2,8
2015-08-07,98,1,9
2015-08-07,88,2,11
2015-08-07,85,2,13
2015-08-07,83,2,15
2015-08-07,65,1,16
2015-08-07,56,1,17
2015-08-07,52,1,18
2015-08-07,51,2,20
2015-08-07,39,1,21
2015-08-07,17,1,22
2015-08-07,16,1,23
2015-08-07,6,1,24
2015-08-07,4,3,27
2015-08-07,3,1,28
2015-08-07,1,1,29
2015-08-07,0,1,30
2015-08-08,269,1,1
2015-08-08,176,1,2
2015-08-08,136,1,3
2015-08-08,130,1,4
2015-08-08,126,1,5
2015-08-08,114,1,6
2015-08-08,110,1,7
2015-08-08,108,1,8
2015-08-08,98,3,11
2015-08-08,94,1,12
2015-08-08,85,1,13
2015-08-08,75,1,14
2015-08-08,73,1,15
2015-08-08,68,1,16
2015-08-08,67,1,17
2015-08-08,65,1,18
2015-08-08,61,2,20
2015-08-08,33,2,22
2015-08-08,29,1,23
2015-08-08,25,1,24
2015-08-08,12,1,25
2015-08-08,5,2,27
2015-08-08,4,1,28
2015-08-08,3,1,29
2015-08-08,2,1,30
2015-08-08,1,1,31
2015-08-08,0,2,33
2015-08-09,153,1,1
2015-08-09,150,1,2
2015-08-09,109,1,3
2015-08-09,82,1,4
2015-08-09,81,2,6
2015-08-09,74,3,9
2015-08-09,72,4,13
2015-08-09,69,1,14
2015-08-09,68,1,15
2015-08-09,65,1,16
2015-08-09,62,3,19
2015-08-09,61,4,23
2015-08-09,59,1,24
2015-08-09,55,1,25
2015-08-09,41,2,27
2015-08-09,40,2,29
2015-08-09,37,1,30
2015-08-09,36,1,31
2015-08-09,34,3,34
2015-08-09,5,2,36
2015-08-09,4,2,38
2015-08-09,2,1,39
2015-08-09,0,4,43
2015-08-10,220,1,1
2015-08-10,195,1,2
2015-08-10,181,2,4
2015-08-10,164,1,5
2015-08-10,159,3,8
2015-08-10,146,1,9
2015-08-10,139,1,10
2015-08-10,136,2,12
2015-08-10,129,1,13
2015-08-10,118,2,15
2015-08-10,115,1,16
2015-08-10,112,1,17
2015-08-10,108,1,18
2015-08-10,107,2,20
2015-08-10,101,1,21
2015-08-10,100,1,22
2015-08-10,93,1,23
2015-08-10,89,2,25
2015-08-10,76,1,26
2015-08-10,75,1,27
2015-08-10,72,1,28
2015-08-10,70,1,29
2015-08-10,69,2,31
2015-08-10,68,2,33
2015-08-10,62,1,34
2015-08-10,56,1,35
2015-08-10,49,2,37
2015-08-10,48,2,39
2015-08-10,41,1,40
2015-08-10,40,2,42
2015-08-10,39,1,43
2015-08-10,35,3,46
2015-08-10,30,1,47
2015-08-10,21,2,49
2015-08-10,19,2,51
2015-08-10,5,2,53
2015-08-10,0,3,56
2015-08-11,196,2,2
2015-08-11,168,1,3
2015-08-11,167,1,4
2015-08-11,108,1,5
2015-08-11,90,4,9
2015-08-11,89,1,10
2015-08-11,84,1,11
2015-08-11,81,2,13
2015-08-11,80,1,14
2015-08-11,78,1,15
2015-08-11,71,1,16
2015-08-11,70,1,17
2015-08-11,68,1,18
2015-08-11,66,1,19
2015-08-11,64,3,22
2015-08-11,60,1,23
2015-08-11,49,1,24
2015-08-11,31,1,25
2015-08-11,28,1,26
2015-08-11,0,2,28
2015-08-12,222,1,1
2015-08-12,187,1,2
2015-08-12,182,1,3
2015-08-12,128,2,5
2015-08-12,86,1,6
2015-08-12,78,1,7
2015-08-12,75,1,8
2015-08-12,71,1,9
2015-08-12,68,1,10
2015-08-12,58,1,11
2015-08-12,47,1,12
2015-08-12,33,3,15
2015-08-12,1,1,16
2015-08-12,0,1,17
2015-08-13,169,1,1
2015-08-13,135,1,2
2015-08-13,132,1,3
2015-08-13,87,1,4
2015-08-13,84,3,7
2015-08-13,79,1,8
2015-08-13,76,1,9
2015-08-13,47,1,10
2015-08-13,38,1,11
2015-08-13,23,1,12
2015-08-13,21,2,14
2015-08-13,19,2,16
2015-08-13,9,2,18
2015-08-13,8,2,20
2015-08-13,3,1,21
2015-08-13,1,3,24
2015-08-13,0,4,28
2015-08-14,224,1,1
2015-08-14,190,1,2
2015-08-14,150,1,3
2015-08-14,107,1,4
2015-08-14,87,1,5
2015-08-14,84,1,6
2015-08-14,81,1,7
2015-08-14,79,2,9
2015-08-14,74,1,10
2015-08-14,64,3,13
2015-08-14,59,1,14
2015-08-14,52,1,15
2015-08-14,51,1,16
2015-08-14,48,1,17
2015-08-14,38,2,19
2015-08-14,21,1,20
2015-08-14,7,2,22
2015-08-14,6,2,24
2015-08-14,1,1,25
2015-08-14,0,6,31
2015-08-15,318,1,1
2015-08-15,205,1,2
2015-08-15,191,1,3
2015-08-15,171,1,4
2015-08-15,148,1,5
2015-08-15,144,1,6
2015-08-15,113,1,7
2015-08-15,107,1,8
2015-08-15,95,1,9
2015-08-15,94,1,10
2015-08-15,93,1,11
2015-08-15,89,3,14
2015-08-15,84,1,15
2015-08-15,82,1,16
2015-08-15,81,3,19
2015-08-15,77,5,24
2015-08-15,75,1,25
2015-08-15,74,1,26
2015-08-15,72,1,27
2015-08-15,68,2,29
